action_id,entity_id,action_type,effort_hours,expected_lift_pct,status
ACT0001,AUD021,monitor,42,19.8,Proposed
ACT0002,AUD028,monitor,26,8.5,Complete
ACT0003,AUD022,monitor,23,18.0,Ready
ACT0004,AUD017,escalate,32,18.5,Ready
ACT0005,AUD003,escalate,32,13.9,In Review
ACT0006,AUD031,monitor,35,7.8,Proposed
ACT0007,AUD017,prioritize,22,11.1,In Review
ACT0008,AUD025,escalate,39,19.2,Proposed
ACT0009,AUD006,escalate,16,13.9,Ready
ACT0010,AUD003,document,19,7.2,Proposed
ACT0011,AUD005,prioritize,24,5.1,Ready
ACT0012,AUD034,validate,14,8.5,Proposed
ACT0013,AUD020,validate,3,11.6,Complete
ACT0014,AUD021,validate,25,2.9,Complete
ACT0015,AUD031,document,37,8.0,Complete
ACT0016,AUD008,prioritize,5,16.8,Ready
ACT0017,AUD013,automate,2,19.4,Complete
ACT0018,AUD024,monitor,12,16.7,In Review
ACT0019,AUD020,escalate,25,3.0,In Review
ACT0020,AUD021,escalate,37,19.2,Ready
ACT0021,AUD006,automate,39,5.1,Proposed
ACT0022,AUD019,automate,40,10.9,Proposed
ACT0023,AUD024,document,44,11.8,Ready
ACT0024,AUD029,automate,43,9.5,Ready
ACT0025,AUD010,document,4,12.2,Ready
ACT0026,AUD016,prioritize,25,5.3,Proposed
ACT0027,AUD028,automate,32,15.9,Proposed
ACT0028,AUD032,validate,42,20.6,Ready
ACT0029,AUD017,automate,29,20.9,Proposed
ACT0030,AUD020,automate,33,20.7,In Review
ACT0031,AUD017,prioritize,28,9.8,Proposed
ACT0032,AUD005,monitor,5,3.4,Proposed
ACT0033,AUD036,monitor,41,14.1,Proposed
ACT0034,AUD002,document,28,10.5,Ready
ACT0035,AUD002,escalate,34,2.7,Ready
ACT0036,AUD022,prioritize,8,15.0,Ready
ACT0037,AUD026,document,22,12.9,Complete
ACT0038,AUD028,prioritize,25,10.7,Complete
ACT0039,AUD029,monitor,28,13.4,Proposed
ACT0040,AUD031,automate,28,4.0,Proposed
ACT0041,AUD008,prioritize,43,7.4,Ready
ACT0042,AUD015,validate,11,19.9,Complete
ACT0043,AUD029,validate,23,16.4,Proposed
ACT0044,AUD023,escalate,2,3.5,Ready
ACT0045,AUD011,document,6,19.6,Complete
ACT0046,AUD016,monitor,20,4.4,Complete
ACT0047,AUD035,automate,3,5.7,Proposed
ACT0048,AUD027,escalate,22,9.6,In Review
ACT0049,AUD005,validate,24,15.6,Complete
ACT0050,AUD011,escalate,25,14.3,Complete
ACT0051,AUD017,document,19,13.9,Ready
ACT0052,AUD009,prioritize,3,16.2,Proposed
ACT0053,AUD017,automate,42,3.2,Complete
ACT0054,AUD022,prioritize,31,23.2,Ready
ACT0055,AUD007,automate,3,20.9,Proposed
ACT0056,AUD027,prioritize,42,21.7,Ready
ACT0057,AUD021,monitor,42,20.1,Ready
ACT0058,AUD034,validate,40,17.2,Proposed
ACT0059,AUD006,validate,32,19.6,Complete
ACT0060,AUD009,validate,37,5.0,Ready
ACT0061,AUD017,validate,26,9.2,Ready
ACT0062,AUD007,escalate,3,23.6,Ready
ACT0063,AUD007,monitor,21,6.9,In Review
ACT0064,AUD013,escalate,28,7.2,Ready
ACT0065,AUD022,prioritize,25,21.8,Proposed
ACT0066,AUD025,document,40,19.4,Complete
ACT0067,AUD031,escalate,34,4.2,Ready
ACT0068,AUD009,validate,13,18.1,Proposed
ACT0069,AUD036,prioritize,17,9.0,In Review
ACT0070,AUD028,validate,12,18.1,Ready
ACT0071,AUD029,document,26,17.5,Ready
ACT0072,AUD027,escalate,13,11.7,Proposed
ACT0073,AUD006,prioritize,7,5.0,In Review
ACT0074,AUD030,document,11,19.9,In Review
ACT0075,AUD029,document,31,7.3,Complete
ACT0076,AUD034,monitor,28,19.8,Complete
ACT0077,AUD032,monitor,25,17.8,Proposed
ACT0078,AUD029,monitor,24,3.7,Proposed
ACT0079,AUD013,escalate,5,11.6,Proposed
ACT0080,AUD014,validate,38,2.9,Proposed
ACT0081,AUD015,automate,18,23.3,In Review
ACT0082,AUD010,prioritize,39,8.3,Complete
ACT0083,AUD015,monitor,16,18.4,Proposed
ACT0084,AUD022,monitor,40,12.5,Proposed
ACT0085,AUD003,automate,32,5.8,Complete
ACT0086,AUD020,validate,18,8.6,Complete
ACT0087,AUD029,validate,22,4.5,Ready
ACT0088,AUD002,automate,28,19.5,In Review
ACT0089,AUD034,monitor,18,12.2,Proposed
ACT0090,AUD019,document,11,19.7,Complete
ACT0091,AUD006,document,25,14.3,Proposed
ACT0092,AUD015,document,12,23.9,Complete
ACT0093,AUD004,document,15,19.3,In Review
ACT0094,AUD010,automate,40,12.8,Ready
ACT0095,AUD026,validate,37,23.2,In Review
ACT0096,AUD027,escalate,9,7.0,Complete
ACT0097,AUD026,document,21,10.3,Complete
ACT0098,AUD020,validate,13,21.0,Proposed
ACT0099,AUD006,escalate,36,19.6,In Review
ACT0100,AUD003,monitor,8,22.9,Ready
ACT0101,AUD020,monitor,34,6.2,In Review
ACT0102,AUD019,document,40,8.3,Proposed
ACT0103,AUD006,document,33,19.1,Proposed
ACT0104,AUD031,prioritize,32,23.4,Proposed
ACT0105,AUD002,document,8,18.0,In Review
ACT0106,AUD030,prioritize,34,23.2,Ready
ACT0107,AUD026,validate,6,14.0,Complete
ACT0108,AUD009,automate,5,8.8,Complete
